"","KEY [2] (시 + 행정동)","인구_합(2020)"
"96","대전_가양동",34010
"97","대전_갈마동",46671
"98","대전_관저동",66796
"99","대전_노은동",84009
"100","대전_도마동",36637
"101","대전_둔산동",71876
"102","대전_문화동",35080
"103","대전_온천동",89778
"104","대전_월평동",47247
"105","대전_유천동",20180
"106","대전_태평동",38892
"107","대전_판암동",21276
"108","동두천_생연동",17712
"109","동부",29513100
"110","면부",4650781
"111","목포_용당동",15986
"112","문경_점촌동",40065
"113","보령_대천동",59751
"114","부산_가야동",39063
"115","부산_감만동",20530
"116","부산_감천동",25745
"117","부산_개금동",56790
"118","부산_거제동",62314
"119","부산_광안동",66150
"120","부산_괴정동",57675
"121","부산_구서동",52054
"122","부산_구포동",61900
"123","부산_금사동",NA
"124","부산_남부동",14340
"125","부산_남천동",25152
"126","부산_다대동",66807
"127","부산_당감동",45381
"128","부산_대연동",100313
"129","부산_대저동",12940
"130","부산_덕천동",35465
"131","부산_덕포동",22359
"132","부산_동대동",19632
"133","부산_동삼동",44439
"134","부산_만덕동",58431
"135","부산_망미동",37966
"136","부산_명장동",28684
"137","부산_명지동",NA
"138","부산_모라동",38397
"139","부산_문현동",45816
"140","부산_반송동",38728
"141","부산_반여동",71594
"142","부산_범일동",NA
"143","부산_범천동",NA
"144","부산_봉래동",12020
"145","부산_부곡동",54417
"146","부산_부암동",39478
"147","부산_부전동",24075
"148","부산_사직동",54900
"149","부산_서대동",28549
"150","부산_수정동",22959
"151","부산_신평동",33634
"152","부산_안락동",41653
"153","부산_양정동",34281
"154","부산_연산동",142633
"155","부산_영선동",12388
"156","부산_영주동",12129
"157","부산_온천동",72295
"158","부산_용호동",80971
"159","부산_우1동",NA
"160","부산_우2동",NA
"161","부산_장림동",40494
"162","부산_장전동",NA
"163","부산_재송동",61909
"164","부산_전포동",39143
"165","부산_주례동",53764
"166","부산_청학동",24600
"167","부산_초량동",29168
"168","부산_하단동",49064
"169","부산_화명동",86371
"170","부천_고강동",NA
"171","부천_상동동",NA
"172","부천_성곡동",NA
"173","부천_소사동",NA
"174","부천_송내동",NA
"175","부천_심곡동",NA
"176","부천_역곡동",NA
"177","부천_오정동",NA
"178","부천_원미동",NA
"179","부천_원종동",NA
"180","부천_중동동",NA
"181","사천_동서동",12956
"182","삼척_남면면",18383
"183","삼척_동면면",5697
"184","삼척_북면면",9864
"185","삼척_서면면",11766
"186","상주_사벌면",NA
"187","서산_동문동",28073
"188","서울_가락동",84885
"189","서울_가양동",62451
"190","서울_갈현동",51436
"191","서울_개봉동",87010
"192","서울_개포동",46578
"193","서울_거여동",29227
"194","서울_고덕동",47078
"195","서울_고척동",50943
"196","서울_공릉동",78195
"197","서울_구로동",143970
"198","서울_구의동",76894
"199","서울_금호동",51706
"200","서울_길음동",51734
"201","서울_남가동",44517
"202","서울_노량동",44190
"203","서울_논현동",42764
"204","서울_답십동",56904
"205","서울_당산동",56408
"206","서울_대림동",71744
"207","서울_대치동",78472
"208","서울_도곡동",52539
"209","서울_도봉동",47538
"210","서울_독산동",113528
"211","서울_돈암동",38229
"212","서울_둔촌동",26107
"213","서울_등촌동",74262
"214","서울_마천동",38147
"215","서울_망우동",46443
"216","서울_망원동",38570
"217","서울_면목동",137779
"218","서울_명일동",41779
"219","서울_문정동",47916
"220","서울_반포동",96413
"221","서울_방배동",98146
"222","서울_방이동",41237
"223","서울_방학동",74837
"224","서울_방화동",87924
"225","서울_북가동",49866
"226","서울_불광동",66029
"227","서울_사당동",102250
"228","서울_삼성동",63913
"229","서울_상계동",199180
"230","서울_상도동",126540
"231","서울_상봉동",43688
"232","서울_서초동",98914
"233","서울_성내동",66113
"234","서울_성산동",58302
"235","서울_성수동",57712
"236","서울_송파동",43815
"237","서울_수유동",63989
"238","서울_숭인동",15630
"239","서울_시흥동",109270
"240","서울_신길동",99669
"241","서울_신내동",59453
"242","서울_신당동",19946
"243","서울_신대동",46505
"244","서울_신사동",89145
"245","서울_신월동",122193
"246","서울_신정동",170731
"247","서울_쌍문동",75549
"248","서울_암사동",66954
"249","서울_양재동",64217
"250","서울_양평동",38850
"251","서울_역삼동",69108
"252","서울_영등동",51787
"253","서울_오류동",NA
"254","서울_왕십동",43628
"255","서울_원효동",28879
"256","서울_월계동",79652
"257","서울_월곡동",46475
"258","서울_응암동",77803
"259","서울_이문동",42953
"260","서울_이촌동",34331
"261","서울_이태동",17771
"262","서울_일원동",54500
"263","서울_자양동",99027
"264","서울_잠실동",141945
"265","서울_장안동",70099
"266","서울_장위동",50441
"267","서울_전농동",49152
"268","서울_정릉동",84179
"269","서울_종로동",12163
"270","서울_중계동",105283
"271","서울_중곡동",81907
"272","서울_중화동",45048
"273","서울_창신동",21933
"274","서울_천호동",87617
"275","서울_풍납동",39313
"276","서울_하계동",49672
"277","서울_행당동",36846
"278","서울_홍은동",48997
"279","서울_홍제동",52845
"280","서울_화곡동",194914
"281","서울_휘경동",40082
"282","성남_구미동",46747
"283","성남_금광동",31183
"284","성남_복정동",NA
"285","성남_상대동",51790
"286","성남_서현동",48243
"287","성남_수내동",40617
"288","성남_수진동",33764
"289","성남_신흥동",44593
"290","성남_야탑동",61090
"291","성남_은행동",33996
"292","성남_이매동",37729
"293","성남_정자동",78767
"294","성남_태평동",60175
"295","세종_아름동",NA
"296","세종_한솔동",NA
"297","세종시",707866
"298","수원_광교동",80514
"299","수원_권선동",73951
"300","수원_망포동",58871
"301","수원_매탄동",93268
"302","수원_세류동",59505
"303","수원_영통동",NA
"304","수원_우만동",37839
"305","수원_정자동",101819
"306","수원_조원동",46813
"307","수원_화서동",51405
"308","순천_왕조동",58100
"309","시흥_정왕동",NA
"310","아산_온양동",129633
"311","안산_고잔동",NA
"312","안산_본오동",87735
"313","안산_선부동",80344
"314","안산_원곡동",NA
"315","안성_안성동",61507
"316","안양_관양동",54828
"317","안양_박달동",38303
"318","안양_비산동",49676
"319","안양_석수동",65429
"320","안양_안양동",137254
"321","안양_호계동",49561
"322","양주_양주동",54316
"323","양주_회천동",111636
"324","영주_가흥동",27465
"325","영주_영주동",7291
"326","영주_휴천동",23918
"327","용인_동백동",NA
"328","용인_상갈동",NA
"329","용인_상현동",79790
"330","용인_영덕동",NA
"331","용인_죽전동",74791
"332","용인_풍덕동",76588
"333","울산_남목동",44200
"334","울산_농소동",115649
"335","울산_반구동",26482
"336","울산_병영동",42258
"337","울산_복산동",15893
"338","울산_신정동",88865
"339","울산_전하동",35815
"340","원주_명륜동",23817
"341","원주_태장동",34644
"342","읍부",5113052
"343","의왕_내손동",43364
"344","의정부_가능동",NA
"345","의정부_송산동",NA
"346","의정부_신곡동",89186
"347","의정부_의정동",NA
"348","의정부_호원동",70150
"349","익산_영등동",37838
"350","인천_가정동",44058
"351","인천_가좌동",61100
"352","인천_간석동",102816
"353","인천_갈산동",35462
"354","인천_검단동",NA
"355","인천_계산동",79989
"356","인천_계양동",80435
"357","인천_관교동",NA
"358","인천_구월동",111140
"359","인천_논현동",113756
"360","인천_도화동",NA
"361","인천_동춘동",61753
"362","인천_만수동",119915
"363","인천_문학동",NA
"364","인천_부개동",65177
"365","인천_부평동",160614
"366","인천_산곡동",83258
"367","인천_삼산동",62883
"368","인천_석남동",51580
"369","인천_송도동",NA
"370","인천_송림동",23112
"371","인천_송현동",14333
"372","인천_숭의동",NA
"373","인천_십정동",38223
"374","인천_연수동",65628
"375","인천_영종동",NA
"376","인천_옥련동",41502
"377","인천_용현동",NA
"378","인천_작전동",78225
"379","인천_장수동",NA
"380","인천_주안동",NA
"381","인천_청라동",NA
"382","인천_청천동",42080
"383","인천_학익동",NA
"384","인천_화수동",13817
"385","인천_효성동",54203
"386","전주_금암동",22518
"387","전주_삼천동",47944
"388","전주_송천동",86659
"389","전주_우아동",24785
"390","전주_인후동",62382
"391","전주_중화동",34381
"392","전주_평화동",58290
"393","전주_효자동",NA
"394","제주_삼도동",21401
"395","제주_용담동",21370
"396","제주_이도동",56704
"397","제주_일도동",35238
"398","진주_상대동",NA
"399","진주_하대동",NA
"400","창원_교방동",NA
"401","창원_구암동",18647
"402","창원_대산면",10730
"403","창원_마산구",363021
"404","창원_반월동",NA
"405","창원_석전동",NA
"406","창원_양덕동",42018
"407","창원_오동동",NA
"408","창원_웅동동",47573
"409","창원_중앙동",NA
"410","창원_충무동",NA
"411","창원_합성동",17438
"412","창원_회원동",19130
"413","천안_부성동",103022
"414","천안_성정동",43167
"415","천안_쌍용동",71108
"416","천안_원성동",18424
"417","청주_강서동",42387
"418","청주_내덕동",23889
"419","청주_복대동",69857
"420","청주_봉명동",36975
"421","청주_사직동",21596
"422","청주_수곡동",27426
"423","청주_용암동",89096
"424","춘천_효자동",25655
"425","춘천_후평동",47655
"426","충주_교현동",30446
"427","파주_금촌동",81526
"428","파주_운정동",184639
"429","평택_비전동",NA
"430","평택_신장동",13160
"431","하남_감북동",NA
"432","하남_덕풍동",59630
"433","하남_미사동",93165
"434","하남_신장동",50517
"435","화성_동탄동",NA
"436","화성_병점동",52486
