"","KEY [2] (시 + 행정동)","인구_합(2020)"
"1","강릉_포남동",23190
"2","거제_옥포동",34078
"3","거제_장승동",NA
"4","경산_북면면",8225
"5","경산_서부동",65269
"6","고성군",76588
"7","고양_마두동",38880
"8","고양_백석동",49863
"9","고양_성사동",32584
"10","고양_일산구",584616
"11","고양_일산동",80770
"12","고양_장항동",37318
"13","고양_주엽동",54306
"14","고양_행신동",97698
"15","고양_화정동",69127
"16","광명_광명동",73605
"17","광명_소하동",81675
"18","광명_철산동",68090
"19","광명_하안동",72599
"20","광양_군서면",5316
"21","광양_남면면",NA
"22","광양_도암면",3574
"23","광양_마산면",4856
"24","광양_북일면",3130
"25","광주_건국동",NA
"26","광주_계림동",17710
"27","광주_금호동",49231
"28","광주_농성동",16038
"29","광주_동구구",110816
"30","광주_두암동",38362
"31","광주_문흥동",32877
"32","광주_방림동",15888
"33","광주_백운동",18742
"34","광주_봉선동",42617
"35","광주_산수동",19002
"36","광주_상무동",48665
"37","광주_송정동",17918
"38","광주_오치동",23995
"39","광주_우산동",38700
"40","광주_운암동",46472
"41","광주_월곡동",34698
"42","광주_월산동",22840
"43","광주_주월동",28308
"44","광주_중흥동",16806
"45","광주_지산동",10326
"46","광주_지원동",24575
"47","광주_첨단동",72826
"48","광주_화정동",62047
"49","구리_교문동",37261
"50","구리_수택동",64105
"51","구미_공단동",12842
"52","구미_신평동",6607
"53","구미_원평동",6869
"54","구미_형곡동",30908
"55","군산_나운동",70696
"56","군포_군포동",89129
"57","군포_산본동",45923
"58","김제_백산면",4834
"59","김제_성수면",3168
"60","김포_구래동",NA
"61","김포_김포동",NA
"62","김포_장기동",78364
"63","김해_장유동",161699
"64","남양주_다산동",109773
"65","당진_남면면",5998
"66","당진_당진동",63194
"67","대구_고산동",91981
"68","대구_남산동",27381
"69","대구_내당동",35487
"70","대구_대명동",97484
"71","대구_대봉동",9687
"72","대구_두류동",23653
"73","대구_만촌동",54663
"74","대구_범물동",26847
"75","대구_범어동",65560
"76","대구_복현동",37201
"77","대구_봉덕동",36168
"78","대구_비산동",54530
"79","대구_산격동",44807
"80","대구_상인동",69793
"81","대구_성내동",14102
"82","대구_송현동",38399
"83","대구_수성동",44492
"84","대구_신암동",45193
"85","대구_신천동",32298
"86","대구_안심동",NA
"87","대구_용산동",60722
"88","대구_월성동",60679
"89","대구_이곡동",40891
"90","대구_지산동",40582
"91","대구_침산동",43663
"92","대구_태전동",49341
"93","대구_평리동",51762
"94","대구_황금동",34985
"95","대구_효목동",27766
