Unnamed: 0,지점명,주소,당행,x,y,도로명주소_after,x_cam,y_cam,Distance,Distance_after
148,대구지점,경북 경산시 진량읍 공단7로 55,54450,128.828183118366,35.8633106872138,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,31.2,62.21
152,대구지점,대구 달성군 다사읍 세천로7길 17-24,8574,128.468025866306,35.8745777662097,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,19.86,29.44
153,대구지점,대구 달서구 성서4차첨단로 171,1000,128.517130282837,35.8293349750459,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,15.68,18.85
164,대구지점,대구 중구 동인동 25번지,2931,128.607307338108,35.870439051838,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,2.93,31.02
171,대구지점,대구 북구 노원로 139-6,17150,128.575670009245,35.8982244743586,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,5.13,34.82
172,대구지점,대구 수성구 명덕로 415,20000,128.615554877452,35.8546264607867,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,6.38,28.93
179,대구지점,경남 김해시 주촌면 골든루트로 104-2,29576,128.830675067574,35.2150890543226,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,122.16,91.28
190,대구지점,경북 경산시 와촌면 금송로87길 22,2000,128.833657522186,35.9488430653301,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,33.24,63.92
205,대구지점,경북 안동시 공단로 36-9,4200,128.705615596922,36.5491220003923,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,95.93,115.17
208,대구지점,대구 동구 화랑로99길 9,0,128.67722707646,35.8764717025119,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,9.22,36.34
211,대구지점,대구 달성군 다사읍 세천로3길 36,19431,128.467159881116,35.8742463580772,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,20.17,25.94
212,대구지점,"대구 동구 화랑로80길 8, 146동 3층 307호",138,128.666113165942,35.8757757374524,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,8.67,35.79
222,대구지점,경남 김해시 주촌면 서부로1293번길 57,1750,128.802459671604,35.2242159727533,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,120.35,92.77
224,대구지점,대구 북구 매천로 63,290,128.540070093653,35.9026181727215,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,9.05,31.4
226,대구지점,대구 서구 와룡로 487,1350,128.538700262875,35.876342853813,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,6.21,29.23
239,대구지점,경북 고령군 다산면 다산산단로 236,2450,128.375368486192,35.7967449754135,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,41.77,19.04
