Unnamed: 0,지점명,주소,당행,x,y,지점_도로명주소,x_start,y_start,Distance
1481,전주지점,전북 김제시 백산면 지평선산단3길 158,4557,126.873428338761,35.848070627568,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,27.52
1595,전주지점,대전 유성구 유성대로1205번길 6-28,200,127.349911441119,36.3957037167239,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,87.3
1655,전주지점,광주 북구 첨단연신로 293,2000,126.86010634328,35.2038998015576,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,93.01
1667,전주지점,전북 김제시 복죽동 442-1번지,7426,126.852730435833,35.8156303208658,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,28.75
1678,전주지점,광주 광산구 평동산단6번로 49,2000,126.769671731764,35.1157231094698,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,101.92
1716,전주지점,충남 천안시 서북구 성거읍 천흥8길 67-26,24983,127.214483034073,36.8829519756815,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,134.99
1721,전주지점,"충북 영동군 영동읍 학산영동로 1177, 401호",107,127.769172418905,36.1685652697339,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,91.68
1893,전주지점,전남 무안군 청계면 청계공단길 129,3000,126.435889113125,34.9433425860833,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,135.57
1940,전주지점,전북 익산시 선화로6길 7,3984,126.93645863985,35.9498340760456,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,34.66
1953,전주지점,충남 예산군 응봉면 응봉로 50-42,9000,126.760958166783,36.6479658409038,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,127.93
2117,전주지점,전북 전주시 덕진구 혁신로 607,1120,127.070383756103,35.8664751492791,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,10.17
2210,전주지점,전북 완주군 봉동읍 은상길 52,1168,127.166015152296,35.9558699209971,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,19.26
2249,전주지점,경기 안성시 양성면 양성로 94-5,3000,127.200057546993,37.0654158081893,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,162.35
2335,전주지점,전남 담양군 금성면 금성공단길 10,2900,127.039173393314,35.3521317279292,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,62.65
2461,전주지점,충북 청주시 흥덕구 직지대로409번길 54,0,127.438913537593,36.6471562082149,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,122.51
2485,전주지점,경북 상주시 영남제일로 1327-12,22400,128.193263520074,36.4172641093624,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,198.4
2517,전주지점,전북 김제시 금산면 구성6길 122,71832,127.007662000183,35.7474640300962,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,19.77
2533,전주지점,전남 여수시 망양로 1100,57975,NAN,NAN,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,
2547,전주지점,경기 화성시 봉담읍 왕림2길 42-25,13800,126.933569039146,37.1903303881222,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,186.68
2550,전주지점,"서울 강남구 테헤란로87길 36, 4층",0,127.058597240146,37.5102336492314,전라북도 전주시 완산구 전라감영5길 18,127.146515418548,35.8171688828742,211.02
