지점명,주소,다행
부산지점,경남 양산시 물금읍 제방로 225,"41,525 "
경산지점,경북 경산시 자인면 자인공단1로 14,"16,043 "
시화지점,경기 시흥시 엠티브이27로58번길 22,"2,262 "
가산지점,충남 아산시 선장면 선창리 198-7번지,"14,500 "
산본지점,경북 포항시 남구 대송로101번길 35,"5,000 "
대구지점,대구 달서구 성서서로 57,"4,139 "
남울산지점,울산 남구 처용로 35,"40,700 "
부천지점,인천 부평구 안남로418번길 74,"6,000 "
분당지점,경기 시흥시 공단1대로 101,"38,000 "
성동지점,충북 옥천군 옥천읍 서부로 49,"37,855 "
울산지점,울산 남구 삼산중로 94,"7,550 "
여수지점,경남 양산시 유산공단7길 39,"8,500 "
오창지점,충남 천안시 서북구 성거읍 오송1길 110,"5,000 "
오창지점,세종 조치원읍 번암공단1길 34,"1,950 "
평택지점,경기 평택시 세교산단로22번길 21,"5,000 "
당진지점,서울 영등포구 국회대로76길 18,"2,000 "
서부산지점,부산 강서구 녹산산단407로 93,"5,000 "
성동지점,경기 김포시 고촌읍 아라육로58번길 35-19,"5,000 "
시화지점,서울 영등포구 영등포로 20,"19,708 "
기업금융2실,경기 안산시 단원구 해봉로 212,"39,500 "
부천지점,"전북 군산시 자유무역2길 15, 군산자유무역표준공장 7동","31,000 "
마포지점,충남 천안시 서북구 입장면 성진로 1105,"7,000 "
부산지점,부산 중구 광복로97번길 23,"1,135 "
서초지점,서울 강남구 강남대로 542,"44,265 "
부천지점,경기 부천시 오정로 215,"57,538 "
금천지점,서울 강남구 언주로 619,0 
종로지점,서울 중구 마른내로 71,"1,000 "
시화지점,경기 안산시 단원구 별망로79번길 55,"14,113 "
여의도지점,서울 용산구 한강대로 350,"25,000 "
금정지점,부산 기장군 정관읍 농공길 2-127,"20,000 "
서소문지점,울산 남구 용잠로 459,"12,000 "
종로지점,서울 종로구 대학로 101,"56,250 "
김포지점,울산 울주군 온산읍 당월로 556-116,"73,300 "
도곡지점,충남 천안시 서북구 업성1길 27,0 
평택지점,충남 아산시 둔포면 아산밸리동로 180,"2,780 "
김해지점,경남 김해시 생림면 생림대로713번길 41,"1,450 "
서소문지점,서울 용산구 이촌로 166,"20,000 "
시화지점,경기 시흥시 공단2대로 43,290 
대덕지점,충북 충주시 국원대로 448,"10,000 "
영업부,경기 평택시 진위면 동부대로 231,0 
시화지점,경기 안산시 단원구 첨단로 215,"12,771 "
종로지점,"서울 중구 서소문로11길 19, B동 5층",798 
천안지점,충남 천안시 서북구 성환읍 율금3길 35,100 
전주지점,전북 군산시 외항1길 32-31,"4,000 "
성동지점,서울 종로구 종로 286,400 
서초지점,경기 안산시 단원구 별망로 129,"8,938 "
잠원지점,"서울 강남구 도산대로 456, 501호","2,880 "
충주지점,충남 당진시 송산면 송산로 703,"45,762 "
대전지점,경기 화성시 송산면 송산포도로 271,"2,000 "
목포지점,전남 목포시 호남로68번길 36,"29,550 "
영업부,경기 평택시 오성면 오성북로 112,0 
김해지점,경남 김해시 진례면 고모로216번길 59-5,"2,300 "
진주지점,경남 사천시 사남면 공단1로 42,"20,158 "
강남지점,서울 강남구 강남대로 310,"23,416 "
금정지점,부산 사상구 낙동대로960번길 81,"22,500 "
전주지점,광주 광산구 하남산단7번로 133,"1,688 "
마포지점,서울 동작구 여의대방로 112,"17,686 "
서소문지점,충북 청주시 흥덕구 오송읍 오송생명로 61,"60,000 "
반포지점,"서울 양천구 목동동로 293, 3508호",632 
강남지점,경기 화성시 우정읍 포승향남로 1170-5,"4,000 "
울산지점,울산 남구 장생포로 389,"22,140 "
목포지점,전북 전주시 덕진구 원만성로 15,"10,000 "
반포지점,서울 서초구 서초중앙로 85,"57,000 "
성서지점,대구 달성군 구지면 국가산단대로39길 119,"1,000 "
울산지점,울산 남구 용잠로 328,0 
진주지점,경남 진주시 진성면 동부로1259번길 86,"6,300 "
창원지점,서울 서초구 방배로 46,17 
서초지점,서울 영등포구 선유동2로 57,"10,000 "
영업부,서울 중구 삼일대로 363,"13,938 "
해양산업금융실,서울 종로구 종로5길 68,"2,500 "
압구정지점,"서울 성동구 연무장11길 10, 3층","15,500 "
대구지점,경북 칠곡군 가산면 호국로 1306-2,"4,020 "
판교지점,경기 화성시 동탄영천로 31,"4,000 "
서초지점,부산 강서구 녹산산업중로192번길 7,"10,021 "
판교지점,경기 화성시 향남읍 제약공단3길 57,"6,000 "
시화지점,경기 안산시 단원구 산단로67번길 94,"46,467 "
청주지점,충북 진천군 초평면 용정길 29-8,"7,209 "
수원지점,서울 구로구 경인로 600,"19,871 "
산본지점,경기 화성시 향남읍 발안공단로3길 71,500 
시화지점,경기 시흥시 공단1대로28번길 57,"7,021 "
포항지점,경남 밀양시 산외면 산외로 42-57,"28,099 "
부천지점,인천 서구 원전로12번길 15,442 
창원지점,경남 함안군 칠서면 삼칠로 631-35,"14,000 "
대전지점,대전 서구 문정로48번길 48,"50,000 "
광주지점,광주 북구 양일로 147-20,"6,000 "
안양지점,"서울 서초구 논현로 83, 2층",0 
금정지점,"부산 금정구 중앙대로 1817, 내","11,970 "
부천지점,충남 천안시 서북구 직산읍 봉주로 293,"4,125 "
여의도지점,서울 영등포구 여의나루로 67,"4,737 "
해양산업금융실,경북 경주시 외동읍 관문로 872,"8,237 "
김포지점,서울 영등포구 버드나루로6길 10,"4,000 "
당진지점,"서울 동작구 보라매로5길 15, 21층","5,000 "
구미지점,경북 구미시 금오산로 400,"4,768 "
해양산업금융실,"부산 중구 중앙대로132번길 7, 501호","32,660 "
여의도지점,충북 진천군 이월면 수평1길 125,500 
구미지점,대구 달성군 구지면 국가산단대로39길 221,0 
군산지점,전북 군산시 서수면 상장곤윗길 23,"13,916 "
아산지점,충남 아산시 음봉면 월암로 365,"15,532 "
서초지점,서울 동작구 상도로 7,0 
양산지점,경남 양산시 충렬로 355,"303,052 "
포항지점,경북 포항시 남구 대송면 철강로492번길 76,"6,674 "
평택지점,경기 수원시 영통구 신원로 270,"161,675 "
구미지점,경북 구미시 3공단3로 55-15,"2,260 "
전주지점,전북 완주군 봉동읍 완주산단5로 322,"3,320 "
포항지점,경기 안산시 단원구 목내로122번길 4,0 
판교지점,경기 성남시 분당구 대왕판교로395번길 8,"50,079 "
안산지점,경기 부천시 삼작로143번길 19,275 
창원지점,경남 창원시 성산구 성주로 53,"4,417 "
여수지점,전남 여수시 낙포단지길 79,"33,575 "
영업부,경북 구미시 3공단2로 300,550 
부천지점,경기 부천시 고강로 7,"31,262 "
압구정지점,"경기 성남시 분당구 야탑로81번길 10, 8층",0 
성서지점,대구 달서구 성서공단북로 194,"10,000 "
목포지점,광주 광산구 하남산단7번로 63,"24,000 "
압구정지점,"서울 구로구 디지털로27길 24, 804호","3,000 "
광주지점,전남 장성군 동화면 농공단지길 79,"2,450 "
포항지점,"경북 포항시 남구 서원재로166번길 28, 2층","5,350 "
여의도지점,"서울 강남구 테헤란로 509, 14층","7,000 "
대구지점,대구 달서구 호산동로1길 71,"1,800 "
울산지점,충북 음성군 금왕읍 금율로30번길 32-10,939 
기업금융4실,서울 강남구 논현로 430,0 
해양산업금융실,경남 창원시 마산합포구 진전면 미더덕로 64,"31,750 "
대덕지점,대전 유성구 대덕대로 748,"4,000 "
서소문지점,서울 서초구 서운로 7,"2,200 "
대전지점,충남 논산시 연산면 연산사계3길 76,"1,273 "
당진지점,충남 예산군 예산읍 창말로 75,"19,000 "
창원지점,"경기 용인시 처인구 양지면 남평로 112, 양지파인리조트","40,625 "
평택지점,경기 평택시 세교산단로 21-20,"17,550 "
종로지점,충북 진천군 이월면 물미길 3,"4,279 "
구미지점,경기 화성시 봉담읍 낭내기길 92,"2,780 "
성서지점,대구 달서구 성서공단남로32길 39,0 
안산지점,서울 서초구 반포대로 43,"10,284 "
성동지점,"서울 동대문구 사가정로 122, 4층 하우스토리","89,972 "
해양산업금융실,부산 중구 중앙대로 122,"9,350 "
도곡지점,"서울 중구 남대문로 63, 16층","60,265 "
동탄지점,경기 화성시 동탄산단6길 15-23,"48,850 "
기업금융1실,경기 구리시 벌말로 96,"17,000 "
종로지점,서울 종로구 종로33길 15,0 
한티지점,서울 서초구 사임당로 173,"4,550 "
서소문지점,서울 광진구 구의2동 69-34번지,"2,430 "
구미지점,대구 북구 검단동로 35,"3,800 "
경산지점,대구 달서구 달서대로 571,"6,450 "
전주지점,전북 전주시 덕진구 운암로 15,"24,000 "
원주지점,"충남 공주시 제민천2길 54, 2동 202호","7,500 "
성서지점,대구 달서구 성서공단북로 194,"10,000 "
부천지점,인천 남동구 남동대로 248,"17,663 "
평택지점,경기 화성시 양감면 정문송산로 69-12,"11,924 "
잠원지점,서울 강서구 마곡중앙10로 91,"27,338 "
도곡지점,서울 종로구 청계천로 41,"10,000 "
안양지점,서울 송파구 백제고분로 383,"1,400 "
인천지점,충남 예산군 삽교읍 산단2길 99-32,"12,666 "
김해지점,경남 밀양시 부북면 춘화로 85,"7,000 "
동탄지점,경기 용인시 처인구 남사면 처인성로 79,500 
판교지점,충남 천안시 서북구 3공단6로 86-9,31 
성서지점,경북 포항시 북구 흥해읍 달전로5번길 61,"1,000 "
여수지점,전남 여수시 여수산단로 810,"10,000 "
인천지점,서울 중구 남대문로 21,"17,971 "
천안지점,서울 금천구 두산로 55,"27,800 "
대덕지점,전북 전주시 덕진구 장재안길 31,"3,000 "
,경북 영양군 입암면 연당리 575-1,0 
부천지점,경기 부천시 평천로832번길 30,"5,286 "
인천지점,인천 남동구 함박뫼로 341,400 
