은행명(1),ⓐ지로코드(2),특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3
우리은행,844800,충남,천안,차암동,3공단6로,May-58,충남 천안 3공단6로,충남 천안 3공단6로 21306,NAN,NAN,NAN
우리은행,844813,경기,화성,동탄면,동탄산단8길,28,경기 화성 동탄산단8길,경기 화성 동탄산단8길 28,경기,화성시,방교동
우리은행,844826,경기,파주,문산읍,문향로,Jan-52,경기 파주 문향로,경기 파주 문향로 18994,NAN,NAN,NAN
우리은행,844839,전북,완주,이서면,안전로,135,전북 완주 안전로,전북 완주 안전로 135,전북,완주군,이서면 갈산리
우리은행,844842,전남,나주,.,.,.,전남 나주 .,전남 나주 . .,전남,나주시,
우리은행,844855,세종,세종,종촌동,도움3로,105-5,세종 세종 도움3로,세종 세종 도움3로 105-5,세종특별자치시,,종촌동
우리은행,844871,대구,동구,신서동,첨단로,7,대구 동구 첨단로,대구 동구 첨단로 7,대구,동구,신서동
우리은행,844936,세종,세종,.,.,.,세종 세종 .,세종 세종 . .,세종특별자치시,,
우리은행,844949,강원,강릉,.,.,.,강원 강릉 .,강원 강릉 . .,강원,강릉시,
우리은행,844965,서울,종로구,.,.,.,서울 종로구 .,서울 종로구 . .,서울,종로구,
우리은행,844978,인천,연수구,.,.,.,인천 연수구 .,인천 연수구 . .,인천,연수구,
우리은행,844981,인천,중구,.,.,.,인천 중구 .,인천 중구 . .,인천,중구,
우리은행,845003,경기,분당,삼평동,대왕판교로645번길 ,36,경기 분당 대왕판교로645번길 ,경기 분당 대왕판교로645번길  36,경기,성남시 분당구,삼평동
우리은행,845016,경기,남양주,와부읍,수레로,888,경기 남양주 수레로,경기 남양주 수레로 888,NAN,NAN,NAN
우리은행,845029,서울,송파구,장지동,위례광장로,300,서울 송파구 위례광장로,서울 송파구 위례광장로 300,NAN,NAN,NAN
우리은행,845032,경기,안양,관양동,시민대로,311,경기 안양 시민대로,경기 안양 시민대로 311,경기,안양시 동안구,관양동
우리은행,845045,경남,진주,.,.,.,경남 진주 .,경남 진주 . .,경남,진주시,
우리은행,845058,서울,서초구,.,.,.,서울 서초구 .,서울 서초구 . .,서울,서초구,
우리은행,845100,경기,의정부,민락동,오목로225번길,162,경기 의정부 오목로225번길,경기 의정부 오목로225번길 162,경기,의정부시,민락동
우리은행,845113,경기,화성,청계동,동탄대로시범길,261,경기 화성 동탄대로시범길,경기 화성 동탄대로시범길 261,경기,화성시,청계동
우리은행,845184,서울,서초구,반포동,신반포로,176,서울 서초구 신반포로,서울 서초구 신반포로 176,서울,서초구,반포동
우리은행,845223,서울,송파구,문정동,.,.,서울 송파구 .,서울 송파구 . .,서울,송파구,
우리은행,845236,서울,서초구,우면동,.,.,서울 서초구 .,서울 서초구 . .,서울,서초구,
우리은행,845249,서울,송파구,신천동,.,.,서울 송파구 .,서울 송파구 . .,서울,송파구,
우리은행,845304,인천,중구,운서동,.,.,인천 중구 .,인천 중구 . .,인천,중구,
우리은행,845317,서울,송파구,신천동,.,.,서울 송파구 .,서울 송파구 . .,서울,송파구,
우리은행,845320,경기,의정부,.,.,.,경기 의정부 .,경기 의정부 . .,경기,의정부시,
우리은행,845388,서울,서대문구,신촌동,.,.,서울 서대문구 .,서울 서대문구 . .,서울,서대문구,
우리은행,845346,경기,평택,고덕면,.,.,경기 평택 .,경기 평택 . .,경기,평택시,
우리은행,845391,제주,제주,이도2동,중앙로,.,제주 제주 중앙로,제주 제주 중앙로 .,NAN,NAN,NAN
SC제일은행,231002,서울특별시,종로구,공평동,종로,47,서울특별시 종로구 종로,서울특별시 종로구 종로 47,서울,종로구,공평동
SC제일은행,231028,서울특별시,중구,충무로2가,퇴계로,131,서울특별시 중구 퇴계로,서울특별시 중구 퇴계로 131,서울,중구,충무로2가
SC제일은행,231086,서울특별시,중구,을지로4가,을지로,158,서울특별시 중구 을지로,서울특별시 중구 을지로 158,서울,중구,을지로4가
SC제일은행,231099,서울특별시,중구,명동2가,명동길,58,서울특별시 중구 명동길,서울특별시 중구 명동길 58,서울,중구,명동2가
SC제일은행,231112,서울특별시,중구,충무로1가,남대문로,42,서울특별시 중구 남대문로,서울특별시 중구 남대문로 42,서울,중구,충무로1가
SC제일은행,231170,서울특별시,마포구,서교동,양화로,133,서울특별시 마포구 양화로,서울특별시 마포구 양화로 133,서울,마포구,서교동
SC제일은행,231277,서울특별시,종로구,장사동,청계천로,149,서울특별시 종로구 청계천로,서울특별시 종로구 청계천로 149,서울,종로구,장사동
SC제일은행,231280,서울특별시,종로구,낙원동,삼일대로,428,서울특별시 종로구 삼일대로,서울특별시 종로구 삼일대로 428,서울,종로구,낙원동
SC제일은행,231303,서울특별시,종로구,종로1가,종로,1,서울특별시 종로구 종로,서울특별시 종로구 종로 1,서울,종로구,종로1가
SC제일은행,231332,서울특별시,중구,세종대로,세종대로,67,서울특별시 중구 세종대로,서울특별시 중구 세종대로 67,서울,중구,태평로2가
SC제일은행,231507,서울특별시,동대문구,청량리동,흥릉로,3,서울특별시 동대문구 흥릉로,서울특별시 동대문구 흥릉로 3,NAN,NAN,NAN
SC제일은행,231510,서울특별시,종로구,창신동,율곡로,309,서울특별시 종로구 율곡로,서울특별시 종로구 율곡로 309,서울,종로구,창신동
SC제일은행,231523,서울특별시,중랑구,상봉동,망우로,252,서울특별시 중랑구 망우로,서울특별시 중랑구 망우로 252,서울,중랑구,상봉동
SC제일은행,231549,서울특별시,동대문구,답십리동,천호대로,291-1,서울특별시 동대문구 천호대로,서울특별시 동대문구 천호대로 291-1,서울,동대문구,답십리동
SC제일은행,231578,서울특별시,동대문구,용두동,천호대로,64,서울특별시 동대문구 천호대로,서울특별시 동대문구 천호대로 64,서울,동대문구,용두동
SC제일은행,231769,서울특별시,광진구,군자동,천호대로,540,서울특별시 광진구 천호대로,서울특별시 광진구 천호대로 540,서울,광진구,군자동
SC제일은행,231772,서울특별시,성동구,성수2가,동일로,89,서울특별시 성동구 동일로,서울특별시 성동구 동일로 89,서울,성동구,성수동2가
SC제일은행,231798,서울특별시,광진구,구의동,자양로,164,서울특별시 광진구 자양로,서울특별시 광진구 자양로 164,서울,광진구,구의동
SC제일은행,231808,서울특별시,성동구,금호동4가,독서당로,302,서울특별시 성동구 독서당로,서울특별시 성동구 독서당로 302,서울,성동구,금호동4가
SC제일은행,231824,서울특별시,성동구,마장동,마장로,291,서울특별시 성동구 마장로,서울특별시 성동구 마장로 291,서울,성동구,마장동
SC제일은행,231837,서울특별시,광진구,구의동,구의강변로,106,서울특별시 광진구 구의강변로,서울특별시 광진구 구의강변로 106,서울,광진구,구의동
