,지점_start,지점_end,도로명주소_start,도로명주소_end,x,x_start,y,y_start,Distance
42,강남지점,가산지점,서울특별시 강남구 영동대로 508,서울특별시 금천구 가산디지털1로 128,127.0629669,126.8836952,37.51029826,37.47723652,31.0
43,강남지점,원주지점,서울특별시 강남구 영동대로 508,강원도 원주시 건강로 1,127.0629669,127.9861066,37.51029826,37.32721002,110.8
44,강남지점,서소문지점,서울특별시 강남구 영동대로 508,서울특별시 중구 서소문로 115,127.0629669,126.9736346,37.51029826,37.563414,13.65
45,강남지점,도곡지점대치영업단,서울특별시 강남구 영동대로 508,서울특별시 강남구 남부순환로 2935,127.0629669,127.0613344,37.51029826,37.49399407,3.39
46,강남지점,잠원지점,서울특별시 강남구 영동대로 508,서울특별시 서초구 강남대로 565,127.0629669,127.020313,37.51029826,37.51222369,5.58
47,강남지점,판교지점,서울특별시 강남구 영동대로 508,경기도 성남시 분당구 판교역로 152,127.0629669,127.1103068,37.51029826,37.39424541,17.27
48,강남지점,아산지점,서울특별시 강남구 영동대로 508,충청남도 아산시 번영로234번길 2,127.0629669,127.0164785,37.51029826,36.78369976,104.98
49,강남지점,동탄지점,서울특별시 강남구 영동대로 508,경기도 화성시 동탄솔빛로 51,127.0629669,127.0730312,37.51029826,37.19363571,44.26
50,강남지점,경산지점,서울특별시 강남구 영동대로 508,경상북도 경산시 대학로 73,127.0629669,128.7305452,37.51029826,35.83439474,297.18
51,강남지점,성동지점,서울특별시 강남구 영동대로 508,서울특별시 성동구 성수이로20길 3,127.0629669,127.0571763,37.51029826,37.54373594,5.28
52,강남지점,양산지점,서울특별시 강남구 영동대로 508,경상남도 양산시 양산역6길 9,127.0629669,129.0270657,37.51029826,35.33755201,372.61
53,강남지점,송도지점,서울특별시 강남구 영동대로 508,인천광역시 연수구 인천타워대로 99,127.0629669,126.6423042,37.51029826,37.38117862,56.81
54,강남지점,오창지점,서울특별시 강남구 영동대로 508,충청북도 청주시 청원구 오창읍 중심상업로 47,127.0629669,127.4289545,37.51029826,36.71507656,121.03
55,강남지점,군산지점,서울특별시 강남구 영동대로 508,전라북도 군산시 월명로 206,127.0629669,126.7161171,37.51029826,35.96231797,204.98
56,강남지점,제주지점,서울특별시 강남구 영동대로 508,제주특별자치도 제주시 신형로 51,127.0629669,126.4806817,37.51029826,33.48237155,540.35
57,강남지점,마곡지점,서울특별시 강남구 영동대로 508,서울특별시 강서구 공항대로 200,127.0629669,126.8294731,37.51029826,37.55896253,27.89
58,강남지점,대구지점,서울특별시 강남구 영동대로 508,대구광역시 북구 호암로 51,127.0629669,128.5959754,37.51029826,35.88368682,279.71
59,강남지점,하남지점,서울특별시 강남구 영동대로 508,경기도 하남시 미사강변 한강로 177,127.0629669,127.1942687,37.51029826,37.57404418,16.92
60,강남지점,부천지점,서울특별시 강남구 영동대로 508,경기도 부천시 송내대로 88,127.0629669,126.7550132,37.51029826,37.49115297,39.37
61,강남지점,해양산업금융실,서울특별시 강남구 영동대로 508,부산광역시 남구 문현금융로 40,127.0629669,129.0658548,37.51029826,35.14649173,395.71
62,일산지점,강남지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 강남구 영동대로 508,126.776247,127.0629669,37.65375491,37.51029826,38.97
63,일산지점,일산지점,경기도 고양시 일산동구 중앙로 1201,경기도 고양시 일산동구 중앙로 1201,126.776247,126.776247,37.65375491,37.65375491,0.0
64,일산지점,분당지점,경기도 고양시 일산동구 중앙로 1201,경기도 성남시 분당구 서현로 200,126.776247,127.1249586,37.65375491,37.38740829,50.55
65,일산지점,수원지점,경기도 고양시 일산동구 중앙로 1201,경기도 수원시 팔달구 효원로 295,126.776247,127.0340782,37.65375491,37.2614686,65.44
66,일산지점,시화지점,경기도 고양시 일산동구 중앙로 1201,경기도 시흥시 정왕대로 188,126.776247,126.7349813,37.65375491,37.34725425,41.93
67,일산지점,안산지점,경기도 고양시 일산동구 중앙로 1201,경기도 안산시 단원구 광덕대로 271,126.776247,126.8300167,37.65375491,37.32089633,50.09
68,일산지점,안양지점,경기도 고양시 일산동구 중앙로 1201,경기도 안양시 동안구 부림로169번길 42,126.776247,126.9611065,37.65375491,37.396727,42.61
69,일산지점,평택지점,경기도 고양시 일산동구 중앙로 1201,경기도 평택시 평택5로20번길 39,126.776247,127.1132285,37.65375491,36.98998898,98.6
70,일산지점,진주지점,경기도 고양시 일산동구 중앙로 1201,경상남도 진주시 향교로 3,126.776247,128.0832446,37.65375491,35.1978675,349.43
71,일산지점,창원지점,경기도 고양시 일산동구 중앙로 1201,경상남도 창원시 성산구 상남로 25,126.776247,128.6767165,37.65375491,35.21709182,389.7
72,일산지점,구미지점,경기도 고양시 일산동구 중앙로 1201,경상북도 구미시 송정대로 107,126.776247,128.3500013,37.65375491,36.11718533,270.55
73,일산지점,포항지점,경기도 고양시 일산동구 중앙로 1201,경상북도 포항시 북구 중흥로 156,126.776247,129.3546405,37.65375491,36.01797875,356.38
74,일산지점,광주지점,경기도 고양시 일산동구 중앙로 1201,광주광역시 광산구 무진대로 261,126.776247,126.8092081,37.65375491,35.16199943,334.66
75,일산지점,성서지점,경기도 고양시 일산동구 중앙로 1201,대구광역시 달서구 성서공단로 114,126.776247,128.4949641,37.65375491,35.83476311,308.63
76,일산지점,대전지점,경기도 고양시 일산동구 중앙로 1201,대전광역시 서구 둔산서로 137,126.776247,127.3826237,37.65375491,36.35904398,187.74
77,일산지점,금정지점,경기도 고양시 일산동구 중앙로 1201,부산광역시 금정구 중앙대로 1817,126.776247,129.0923715,37.65375491,35.24639845,416.58
78,일산지점,부산지점,경기도 고양시 일산동구 중앙로 1201,부산광역시 중구 대청로 136,126.776247,129.0348391,37.65375491,35.10253882,426.16
79,일산지점,울산지점,경기도 고양시 일산동구 중앙로 1201,울산광역시 남구 봉월로 56,126.776247,129.3059942,37.65375491,35.53740246,396.13
80,일산지점,인천지점,경기도 고양시 일산동구 중앙로 1201,인천광역시 남동구 미래로 42,126.776247,126.7058206,37.65375491,37.4537728,31.57
81,일산지점,목포지점,경기도 고양시 일산동구 중앙로 1201,전라남도 목포시 백년대로 306,126.776247,126.4213459,37.65375491,34.80389635,374.68
82,일산지점,여수지점,경기도 고양시 일산동구 중앙로 1201,전라남도 여수시 시청로 30,126.776247,127.6633572,37.65375491,34.76415187,371.39
83,일산지점,전주지점,경기도 고양시 일산동구 중앙로 1201,전라북도 전주시 완산구 전라감영5길 18,126.776247,127.1465154,37.65375491,35.81716888,239.62
84,일산지점,천안지점,경기도 고양시 일산동구 중앙로 1201,충청남도 천안시 동남구 만남로 82,126.776247,127.1609907,37.65375491,36.81998939,115.98
85,일산지점,청주지점,경기도 고양시 일산동구 중앙로 1201,충청북도 청주시 상당구 성안로 16,126.776247,127.4888613,37.65375491,36.63539888,160.9
86,일산지점,충주지점,경기도 고양시 일산동구 중앙로 1201,충청북도 충주시 계명대로 195,126.776247,127.9362604,37.65375491,36.98265729,154.54
87,일산지점,금천지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 금천구 시흥대로 488,126.776247,126.8992088,37.65375491,37.47707814,29.96
88,일산지점,노원지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 노원구 노해로 467,126.776247,127.0597507,37.65375491,37.65444779,37.08
89,일산지점,도곡지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 강남구 남부순환로 2803,126.776247,127.0515051,37.65375491,37.48960302,39.16
90,일산지점,마포지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 마포구 양화로 127,126.776247,126.9204976,37.65375491,37.55488152,21.3
91,일산지점,서초지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 서초구 서초대로78길 5,126.776247,127.0273743,37.65375491,37.49725882,33.98
92,일산지점,압구정지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 강남구 논현로 878,126.776247,127.0289521,37.65375491,37.52709141,33.32
93,일산지점,여의도지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 영등포구 의사당대로 97,126.776247,126.924586,37.65375491,37.52251614,24.84
94,일산지점,잠실지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 송파구 올림픽로 289,126.776247,127.1025221,37.65375491,37.51461528,40.88
95,일산지점,종로지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 종로구 율곡로 6,126.776247,126.9797758,37.65375491,37.57545386,27.39
96,일산지점,본점 영업부,경기도 고양시 일산동구 중앙로 1201,서울특별시 영등포구 은행로 14,126.776247,126.920832,37.65375491,37.5271224,24.08
97,일산지점,본점,경기도 고양시 일산동구 중앙로 1201,서울특별시 영등포구 은행로 14,126.776247,126.920832,37.65375491,37.5271224,24.08
98,일산지점,김해지점,경기도 고양시 일산동구 중앙로 1201,경상남도 김해시 경원로73번길 15,126.776247,128.868143,37.65375491,35.2383534,407.33
