고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
(주)에코프로머티리얼즈,포항지점,경북 포항시 북구 흥해읍 영일만산단남로75번길 15,외감,적정,중소기업,202205,"63,807 ","56,600 ","35,591 ",2021,"342,888 ","216,667 ","132,713 ","17,595 ","12,541 ","4,845 ","15,400 ","16,836 ","1,786 ",경북,포항시 북구,흥해읍 곡강리,129.40743918224,36.0974526852628
(주)영일오엔씨,포항지점,"서울 영등포구 양평로22길 21, 1101호",외감,적정,중소기업,202205,"4,700 ","4,700 ","3,500 ",2021,"42,729 ","38,331 ","39,610 ",874 ,669 ,918 ,812 ,612 ,909 ,서울,영등포구,양평동5가,126.894657064548,37.5398071417051
(주)신기씨앤에스,포항지점,경기 광주시 초월읍 두월길29번길 24,외감,적정,중소기업,202205,409 ,303 ,"1,750 ",2021,"40,803 ","33,182 ","21,831 ",902 ,"1,466 ",291 ,7 ,594 ,"-5,508 ",경기,광주시,초월읍 신월리,127.313289107939,37.4035718396726
디오토모티브(주),포항지점,충남 아산시 둔포면 해위안길62번길 16,외감,적정,대기업,202205,"21,000 ","6,000 ","6,000 ",2021,"58,904 ","51,252 ","42,554 ","2,006 ","3,030 ","3,203 ","4,170 ","1,236 ","3,177 ",충남,아산시,둔포면 신항리,127.022961625993,36.8938645912799
(주)유한아스콘,포항지점,경북 경주시 강동면 강동산단로 31,일반,,중소기업,202205,"4,840 ","4,840 ","4,840 ",2021,"3,831 ",139 ,0 ,289 ,-152 ,-4 ,136 ,-281 ,-25 ,경북,경주시,강동면 왕신리,129.31581856566,35.9568713712794
부경에너지(주),포항지점,"부산 북구 금곡대로 99, 3층",외감,적정,중소기업,202205,"2,000 ","2,000 ","2,000 ",2021,"95,531 ","83,342 ","87,938 ",828 ,"1,368 ",765 ,456 ,547 ,147 ,부산,북구,덕천동,129.005817307349,35.2187813323389
제주비케이(주),포항지점,제주 제주시 노형로 162,외감,적정,중소기업,202205,"5,200 ","5,200 ","4,200 ",2021,"56,276 ","45,042 ","32,076 ","2,644 ","1,741 ","1,974 ","1,782 ","1,043 ","1,521 ",제주특별자치도,제주시,해안동,126.460428624049,33.4695759169628
(주)에이치해운,포항지점,"인천 중구 연안부두로 70, 2층 209호",외감,적정,중소기업,202205,900 ,900 ,"1,000 ",2021,"13,438 ","9,406 ","7,979 ","-5,504 ","-4,865 ","-1,687 ","-6,202 ","-8,743 ","-1,567 ",인천,중구,항동7가,126.59895688425,37.4542004636661
브이아이베리타스JW사모부동산투자신탁,포항지점,"서울 영등포구 여의도동 25-15번지 하이투자증권빌딩 11층,12층",기타,,기타,202205,"10,000 ","10,000 ","10,000 ",2021,,,,,,,,,,서울,영등포구,여의도동,126.9260097897,37.5232334265681
Modern Coastal Ferry No.2 S.A.,포항지점,파나마,기타,,기타,202205,0 ,0 ,0 ,2021,,,,,,,,,,NAN,NAN,NAN,NAN,NAN
(주)에스피씨아이,포항지점,경북 경주시 안강읍 두류길 201,외감,적정,중소기업,202205,"2,379 ","2,531 ","1,634 ",2021,"9,144 ","6,477 ","7,784 ",662 ,851 ,"1,862 ",470 ,664 ,"1,752 ",경북,경주시,안강읍 두류리,129.167321179781,35.9716160665274
성남중1구역도시환경정비사업조합,포항지점,"경기 성남시 수정구 산성대로 241, 8층",일반,,기타,202205,"26,939 ","20,010 ",0 ,2021,,,,,,,,,,경기,성남시 수정구,신흥동,127.144091064159,37.4399282536923
대봉1-2지구주택재건축정비사업조합,포항지점,"대구 중구 명륜로 173, 204호",일반,,기타,202205,"10,348 ","3,788 ",0 ,2021,,,,,,,,,,대구,중구,대봉동,128.603129445923,35.8609666609805
(주)일승,포항지점,부산 강서구 녹산산단165로14번길 31,코스닥,적정,대기업,202205,"13,500 ","5,000 ",0 ,2021,"33,175 ","37,109 ","22,777 ","1,861 ","4,710 ","1,665 ","-6,657 ","3,655 ","1,892 ",부산,강서구,송정동,128.839035954663,35.0902182371576
(주)신한해운,당진지점,충남 보령시 대천항중앙길 30,일반,,중소기업,202205,"2,055 ","2,270 ","2,270 ",2021,"6,338 ","5,947 ","6,448 ",299 ,166 ,181 ,391 ,0 ,-113 ,충남,보령시,신흑동,126.511550857888,36.3269900536582
(주)에스지세계물산,당진지점,"서울 금천구 벚꽃로 278, 6층",상장,적정,대기업,202205,"32,900 ","34,200 ","32,100 ",2021,"133,439 ","166,834 ","244,393 ","-2,676 ","-18,573 ","1,764 ","50,054 ","-16,221 ","15,700 ",서울,금천구,가산동,126.884634912937,37.4794931161957
전북에너지서비스(주),당진지점,전북 익산시 석암로3길 80,외감,적정,대기업,202205,0 ,0 ,0 ,2021,"121,073 ","110,690 ","113,255 ","7,703 ","7,471 ","7,020 ","5,913 ","5,792 ","5,811 ",전북,익산시,팔봉동,127.005587380257,35.954190961532
한림정공(주),당진지점,서울 영등포구 국회대로76길 18,외감,적정,중소기업,202205,"2,000 ","2,000 ","2,000 ",2021,"20,893 ","21,208 ","22,669 ",516 ,"1,157 ","1,017 ",188 ,499 ,453 ,서울,영등포구,여의도동,126.922228267837,37.5299809424284
(주)모나리자,당진지점,"서울 동작구 보라매로5길 15, 21층",상장,적정,중소기업,202205,"5,000 ",0 ,0 ,2021,"106,399 ","117,131 ","117,954 ","3,434 ","9,334 ","2,773 ","3,268 ","7,918 ","2,431 ",서울,동작구,신대방동,126.924271334879,37.4921758625358
(주)에스지글로벌,당진지점,충남 예산군 예산읍 창말로 75,상장,적정,대기업,202205,"19,000 ","19,000 ","10,000 ",2021,"56,443 ","80,058 ","85,884 ",575 ,"4,443 ","4,221 ","-3,539 ",542 ,"5,908 ",충남,예산군,예산읍 창소리,126.836889739838,36.7291880203476
(주)시그너스정공,당진지점,충남 당진시 송악읍 틀모시로 355-64,외감,적정,중소기업,202205,"8,943 ","8,941 ","9,562 ",2021,"30,503 ","27,580 ","30,624 ",726 ,270 ,"-1,940 ",88 ,-381 ,"-1,755 ",충남,당진시,송악읍 가교리,126.697314716385,36.8648174777532
인지컨트롤스(주),당진지점,"경기 시흥시 군자천로 171, 504호",상장,적정,대기업,202205,"33,578 ","33,342 ","28,752 ",2021,"331,623 ","311,645 ","354,438 ","3,795 ",-824 ,"10,212 ","6,823 ","-2,837 ",42 ,경기,시흥시,정왕동,126.723405632671,37.335187586405
우성철강(주),당진지점,경북 경산시 진량읍 대원리 399번지,외감,적정,대기업,202205,"5,000 ","5,000 ",0 ,2021,"223,146 ","189,699 ","225,241 ","4,326 ","3,705 ","5,186 ","2,313 ","1,842 ","2,305 ",경북,경산시,진량읍 대원리,128.830478194666,35.8672822396233
우신공업(주),당진지점,충남 당진시 면천면 아미로 94,외감,적정,대기업,202205,"17,500 ","17,500 ","17,500 ",2021,"146,046 ","123,338 ","130,781 ","6,006 ","2,648 ","3,325 ","3,046 ","2,232 ","4,158 ",충남,당진시,면천면 송학리,126.656032057936,36.8275979211348
(주)엠에스에스글로벌,당진지점,충남 논산시 연무읍 동산산업단지로 101-11,외감,적정,중소기업,202205,"4,000 ",0 ,"2,500 ",2021,"29,427 ","29,634 ","31,201 ","1,469 ","3,587 ","3,031 ","1,013 ","4,028 ","2,304 ",충남,논산시,연무읍 동산리,127.132463077086,36.1330420903803
기보스틸(주),당진지점,"경기 시흥시 협력로 248, 410호",외감,적정,대기업,202205,"53,750 ","40,250 ","43,740 ",2021,"579,315 ","477,679 ","504,370 ","12,676 ","6,479 ","8,211 ","4,643 ","3,234 ","1,889 ",경기,시흥시,정왕동,126.713905352085,37.3491756985737
서울금속공업(주),당진지점,경기 안산시 단원구 지원로 173,외감,적정,중소기업,202205,0 ,0 ,"1,000 ",2021,"109,272 ","71,624 ","69,040 ","4,835 ","2,535 ","2,099 ","4,133 ","5,498 ","3,171 ",경기,안산시 단원구,성곡동,126.748210856858,37.3204417542209
광성기업(주),당진지점,충남 당진시 송산면 능안길 212-14,외감,적정,대기업,202205,"17,200 ","19,100 ","22,100 ",2021,"155,125 ","150,299 ","155,999 ","2,547 ","6,541 ","3,594 ","3,062 ",478 ,"7,151 ",충남,당진시,송산면 유곡리,126.691199550952,36.9492183791794
오텍캐리어(주),당진지점,광주 광산구 하남산단3번로 55,외감,적정,대기업,202205,"15,000 ","13,137 ","10,075 ",2021,"632,368 ","576,551 ","671,378 ","1,175 ",432 ,"27,256 ","-1,148 ","1,491 ","16,557 ",광주,광산구,장덕동,126.800928491673,35.1914806161338
(주)가나스틸,당진지점,충남 서산시 성연면 성연3로 133-25,외감,적정,중소기업,202205,"24,448 ","20,679 ","18,839 ",2021,"41,628 ","47,272 ","39,164 ","2,028 ","1,994 ","2,596 ",910 ,609 ,555 ,충남,서산시,성연면 오사리,126.444780439894,36.8311442220272
한진화학(주),당진지점,경기 의왕시 고천공업로 28,외감,적정,중소기업,202205,"7,700 ","4,200 ","4,200 ",2021,"42,864 ","33,452 ","41,383 ","1,268 ",334 ,297 ,661 ,420 ,208 ,경기,의왕시,고천동,126.969202076527,37.3518893250612
(주)아산,당진지점,경기 김포시 대곶면 율생중앙로52번길 46,외감,적정,중소기업,202205,"5,000 ","5,000 ","5,000 ",2021,"65,388 ","61,077 ","76,062 ","1,540 ",868 ,358 ,"1,320 ",667 ,256 ,경기,김포시,대곶면 율생리,126.586177612807,37.6540955745725
(주)인지디스플레이,시화지점,경기 안산시 단원구 동산로 88,코스닥,적정,대기업,202205,"53,489 ","50,670 ","44,545 ",2021,"258,567 ","271,619 ","121,746 ","-4,801 ","4,593 ","1,418 ",454 ,"7,136 ","12,364 ",경기,안산시 단원구,원시동,126.800079929013,37.3139864640896
(주)광성에이엔브이,당진지점,경기 안산시 단원구 번영로186번길 6,외감,적정,대기업,202205,"2,400 ","2,400 ","2,700 ",2021,"12,574 ","11,082 ","14,023 ",-979 ,-248 ,220 ,"-1,050 ",-263 ,145 ,경기,안산시 단원구,성곡동,126.742262904969,37.3244672784273
(주)오텍,당진지점,충남 예산군 고덕면 예덕로 1033-36,코스닥,적정,대기업,202205,"12,741 ","15,902 ","10,000 ",2021,"100,923 ","135,123 ","100,679 ",-183 ,"4,191 ","1,380 ",-437 ,"5,003 ","11,051 ",충남,예산군,고덕면 호음리,126.723636451698,36.7845535750811
(주)대하,당진지점,충남 당진시 순성면 순성로 773,외감,적정,대기업,202205,"20,500 ","21,000 ","22,000 ",2021,"212,011 ","170,474 ","192,706 ","1,429 ","2,178 ","5,507 ",627 ,114 ,"5,621 ",충남,당진시,순성면 아찬리,126.729157505963,36.8617993839885
서해선박(주),당진지점,"충남 서산시 대산읍 구진천로 12, 6층",일반,,중소기업,202205,"5,680 ","4,202 ","2,847 ",2021,"7,120 ","6,814 ","7,137 ","2,387 ","1,466 ","1,172 ","2,023 ","1,244 ",-832 ,충남,서산시,대산읍 대산리,126.434374080549,36.9382844902252
(주)석영에스텍,당진지점,충남 당진시 용란재길 36,외감,적정,중소기업,202205,"3,000 ","3,000 ","3,000 ",2021,"131,230 ","88,489 ","91,344 ","8,605 ","3,221 ","1,830 ","6,123 ","2,501 ","1,266 ",충남,당진시,용연동,126.624999509625,36.8671737711327
에이치디씨현대이피(주),당진지점,충남 당진시 석문면 대호만로 1221-32,상장,적정,대기업,202205,"20,000 ","15,000 ","15,000 ",2021,"713,643 ","569,314 ","696,887 ","25,856 ","25,280 ","21,011 ",982 ,"12,439 ","23,135 ",충남,당진시,석문면 통정리,126.58193302484,36.9837295976116
(주)싸이맥스,당진지점,경기 화성시 동탄산단2길 47,코스닥,적정,대기업,202205,"6,000 ","7,000 ","7,000 ",2021,"223,530 ","159,710 ","74,288 ","33,127 ","22,982 ","5,202 ","26,283 ","22,716 ","5,682 ",경기,화성시,방교동,127.08769576765,37.1628389678995
(주)서산테크노밸리,당진지점,충남 서산시 성연면 성연3로 240-72,일반,,대기업,202205,0 ,0 ,0 ,2021,0 ,"2,977 ","13,967 ",0 ,346 ,"4,025 ",0 ,393 ,"3,733 ",충남,서산시,성연면 왕정리,126.455502565826,36.8239102410193
(주)한미에프쓰리,당진지점,충남 아산시 둔포면 충무로 1342,외감,적정,중소기업,202205,"13,030 ","13,000 ","8,500 ",2021,"36,235 ","36,341 ","38,294 ","3,367 ","3,285 ","2,922 ","2,807 ","3,131 ","2,198 ",충남,아산시,둔포면 관대리,127.034839195328,36.893124063163
(주)쌍용씨앤비,당진지점,세종 조치원읍 번암공단1길 16,외감,적정,대기업,202205,"34,068 ","28,069 ","25,120 ",2021,"185,713 ","193,013 ","181,317 ","9,215 ","17,578 ","6,287 ","5,660 ","13,715 ","4,177 ",세종특별자치시,,조치원읍 번암리,127.297703254139,36.5799828948888
(주)넥스플러스,당진지점,충남 아산시 선장면 부엉산길 39,외감,적정,중소기업,202205,"21,800 ","21,800 ","2,800 ",2021,"63,221 ","64,502 ","36,124 ","6,234 ","8,754 ","-3,871 ","5,869 ","9,468 ","-2,879 ",충남,아산시,선장면 선창리,126.869146952584,36.7908201847057
(주)미래엔서해에너지,당진지점,충남 당진시 시곡로 348,외감,적정,대기업,202205,"51,817 ","45,928 ","53,940 ",2021,"526,860 ","393,042 ","425,945 ","18,258 ","16,242 ","14,304 ","13,945 ","11,602 ","8,084 ",충남,당진시,시곡동,126.684605296177,36.9004677595232
(주)단톡,당진지점,충남 아산시 영인면 영인산로 440,외감,적정,중소기업,202205,"20,533 ","19,660 ","14,000 ",2021,"10,047 ","13,234 ","12,125 ","3,906 ","5,370 ","4,355 ","3,209 ","4,932 ","-15,723 ",충남,아산시,영인면 신현리,126.918644640822,36.8462680776647
동희오토(주),당진지점,충남 서산시 성연면 신당1로 105-1,외감,적정,대기업,202205,"33,780 ","36,048 ","34,058 ",2021,"143,301 ","127,585 ","152,302 ","3,634 ","2,627 ",592 ,"3,058 ","1,648 ",111 ,충남,서산시,성연면 갈현리,126.4801270638,36.8321960250588
우양에이치씨(주),당진지점,경기 평택시 포승읍 포승공단로118번길 88,K-OTC,적정,중소기업,202205,0 ,0 ,"6,300 ",2021,"113,012 ","134,863 ","134,252 ","1,250 ","7,813 ","24,352 ","1,092 ","2,500 ","28,871 ",경기,평택시,포승읍 만호리,126.849862982319,36.9729142101847
(주)성호폴리텍,당진지점,충북 음성군 생극면 생극산단길 119,외감,적정,중소기업,202205,"13,172 ","13,053 ","15,320 ",2021,"63,916 ","50,878 ","44,982 ","8,700 ","6,454 ","3,014 ","7,470 ","6,352 ","1,478 ",충북,음성군,생극면 신양리,127.616162141665,37.0412961620733
(주)신세기알테크,당진지점,경기 평택시 진위면 가곡리 357번지,외감,적정,중소기업,202205,"2,482 ",300 ,960 ,2021,"41,502 ","29,555 ","25,674 ","1,069 ",613 ,358 ,772 ,702 ,230 ,경기,평택시,진위면 가곡리,127.072903406646,37.1187390932215
일우선박(주),당진지점,"서울 강남구 논현로157길 14, 402호",외감,적정,중소기업,202205,"3,900 ","5,107 ","9,211 ",2021,"11,829 ","11,522 ","10,908 ","1,955 ",819 ,-449 ,"2,282 ",682 ,-822 ,서울,강남구,신사동,127.026947646497,37.5225773260528
(주)명진강업,당진지점,서울 구로구 경인로67가길 21,외감,적정,중소기업,202205,"2,000 ","1,142 ","2,862 ",2021,"133,215 ","102,792 ","115,288 ","7,091 ",806 ,"2,178 ","5,383 ",953 ,329 ,서울,구로구,신도림동,126.883131372237,37.5129298713368
(주)현대그린개발,당진지점,"충남 당진시 송산면 유곡2길 15, 503호",외감,적정,중소기업,202205,0 ,0 ,0 ,2021,"124,311 ","26,115 ","3,723 ","5,435 ",-203 ,-498 ,"1,399 ","-1,884 ","-2,771 ",충남,당진시,송산면 유곡리,126.689269869234,36.9638904935418
(주)삼우,당진지점,충북 음성군 대소면 대금로379번길 50,외감,적정,대기업,202205,"103,991 ","96,691 ","57,882 ",2021,"828,615 ","694,589 ","817,065 ","23,744 ","16,201 ","27,286 ","10,173 ","6,958 ","12,368 ",충북,음성군,대소면 오류리,127.484420461442,36.9778018663086
(주)새한공업,당진지점,충남 당진시 송악읍 부곡공단로 335,외감,적정,중소기업,202205,0 ,"1,000 ",0 ,2021,"28,701 ","31,565 ","37,748 ",427 ,468 ,846 ,179 ,209 ,125 ,충남,당진시,송악읍 한진리,126.777803918269,36.9658118663404
대한철강(주),당진지점,충남 당진시 신평면 원머리로 271,외감,적정,중소기업,202205,"19,640 ","21,380 ","21,620 ",2021,"147,366 ","130,902 ","130,520 ","5,791 ","1,303 ","3,880 ","2,750 ",80 ,"1,363 ",충남,당진시,신평면 매산리,126.794672608491,36.900677951806
(주)바이서치코리아,당진지점,"서울 강남구 강남대로114길 41, 2층",외감,적정,대기업,202205,"4,500 ","4,500 ","4,500 ",2021,"202,348 ","241,250 ","242,541 ",-274 ,"3,240 ","3,002 ",371 ,271 ,"1,648 ",서울,강남구,논현동,127.027455635353,37.506694943703
(주)라인물류시스템,당진지점,경기 광주시 곤지암읍 구수동길 26-20,외감,적정,중소기업,202205,"9,000 ","9,000 ","8,850 ",2021,"136,215 ","107,749 ","91,702 ","-8,310 ","1,125 ",986 ,"-10,014 ",448 ,514 ,경기,광주시,곤지암읍 수양리,127.373437392436,37.3314278218764
(주)한결엘에스,당진지점,경기 이천시 마장면 둔터로 24-26,외감,적정,대기업,202205,"18,938 ","19,249 ","5,169 ",2021,"194,484 ","165,229 ","183,502 ","5,541 ","3,953 ","1,055 ","4,313 ","2,864 ","1,039 ",경기,이천시,마장면 장암리,127.401029986946,37.2844189242313
(주)우진메탈,당진지점,경기 김포시 양촌읍 대곶남로580번길 96,외감,적정,중소기업,202205,"12,606 ","10,037 ","3,729 ",2021,"179,523 ","89,462 ","133,096 ","5,437 ",720 ,"2,953 ","3,506 ",305 ,"1,318 ",경기,김포시,양촌읍 유현리,126.608507307866,37.6371465452067
금성볼트공업(주),당진지점,부산 강서구 화전산단2로134번길 17,외감,적정,중소기업,202205,"12,728 ","12,728 ",0 ,2021,"27,400 ","24,128 ","23,677 ",842 ,569 ,627 ,887 ,488 ,299 ,부산,강서구,화전동,128.886951531976,35.1025399680128
(주)삼우코리아,당진지점,충남 당진시 합덕읍 합덕산단2로 87,외감,적정,중소기업,202205,"3,366 ","3,366 ","25,071 ",2021,"28,039 ","30,587 ","35,894 ",-493 ,"-8,244 ","2,112 ","-2,993 ","-11,756 ","2,321 ",충남,당진시,합덕읍 석우리,126.742654119212,36.8157217550311
(주)우진산업,당진지점,경기 김포시 월곶면 비석동로50번길 108-4,외감,적정,중소기업,202205,"4,633 ","4,116 ","3,211 ",2021,"88,087 ","64,849 ","114,864 ","2,608 ",137 ,"-6,512 ","1,307 ",255 ,"-5,297 ",경기,김포시,월곶면 갈산리,126.576545006351,37.7056690841125
(주)전영,당진지점,전북 군산시 외항로 970,외감,의견거절,중소기업,202205,900 ,900 ,900 ,2021,"3,131 ","3,816 ","3,876 ",-991 ,"-1,155 ","-1,734 ","-1,321 ","-1,500 ","-2,291 ",전북,군산시,오식도동,126.565083822767,35.9551423832773
오텍캐리어냉장(유),당진지점,충남 예산군 고덕면 예덕로 1033-56,외감,적정,대기업,202205,"16,322 ","16,228 ","11,416 ",2021,"274,181 ","218,454 ","175,215 ","4,658 ","4,244 ","1,504 ","2,339 ","3,495 ",330 ,충남,예산군,고덕면 호음리,126.722381436154,36.7850374334919
(주)스틸드림,당진지점,경북 경주시 외동읍 석계산업단지길 91,외감,적정,대기업,202205,"5,000 ","5,000 ",0 ,2021,"262,005 ","248,411 ","281,964 ","4,616 ","4,615 ","6,391 ","2,128 ","2,062 ","2,680 ",경북,경주시,외동읍 석계리,129.306358627832,35.661500462448
(주)알루원,당진지점,경기 안산시 단원구 번영로 124,외감,적정,중소기업,202205,"3,000 ","3,000 ","2,000 ",2021,"70,891 ","58,289 ","50,351 ","-1,179 ","1,613 ",733 ,"-1,096 ",896 ,129 ,경기,안산시 단원구,성곡동,126.738009835266,37.3199471076435
엠에스에스펄프(주),당진지점,"서울 동작구 보라매로5길 15, 21층",외감,적정,대기업,202205,"8,554 ","7,411 ","5,207 ",2021,"68,306 ","83,552 ","95,033 ","2,308 ","3,461 ","3,535 ",175 ,"2,749 ","2,656 ",서울,동작구,신대방동,126.924271334879,37.4921758625358
푸드렐라(주),당진지점,충남 아산시 둔포면 충무로 1342,외감,적정,중소기업,202205,"2,630 ","2,900 ","4,600 ",2021,"27,573 ","28,816 ","20,058 ","3,827 ","3,226 ","1,321 ","3,066 ","2,347 ","1,083 ",충남,아산시,둔포면 관대리,127.034839195328,36.893124063163
대한오케이스틸(주),당진지점,경기 광주시 경충대로 1786-9,외감,적정,중소기업,202205,"6,875 ","6,875 ","5,205 ",2021,"75,088 ","47,212 ","40,954 ","3,313 ",556 ,901 ,"2,446 ",121 ,459 ,경기,광주시,장지동,127.240173925492,37.4029442100986
(주)공진양행,당진지점,경기 평택시 평택2로 34,일반,,중소기업,202205,"1,850 ","2,200 ","2,800 ",2021,"1,113 ","1,144 ","1,290 ",348 ,411 ,543 ,278 ,374 ,302 ,경기,평택시,평택동,127.089952329717,36.993687572196
동일전선(주),당진지점,충북 진천군 이월면 밤디길 65,외감,적정,중소기업,202205,"4,000 ","3,000 ",0 ,2021,"99,778 ","87,261 ","92,850 ","1,811 ","2,642 ",789 ,"2,131 ","2,307 ","1,120 ",충북,진천군,이월면 신월리,127.45411815955,36.922241256848
엠에스에스홀딩스(주),당진지점,세종 조치원읍 번암공단1길 16,외감,적정,대기업,202205,"16,996 ","16,996 ","16,996 ",2021,"6,698 ","7,210 ","8,673 ","5,677 ","6,905 ","8,554 ",940 ,"17,769 ","2,754 ",세종특별자치시,,조치원읍 번암리,127.297703254139,36.5799828948888
(주)삼화이엔씨,당진지점,충남 당진시 면천면 산업단지길 17-20,외감,적정,중소기업,202205,"4,577 ","4,881 ","4,750 ",2021,"23,228 ","19,241 ","18,303 ","1,084 ",149 ,930 ,797 ,41 ,644 ,충남,당진시,면천면 문봉리,126.702426509463,36.805764731078
에이스메탈(주),당진지점,경기 평택시 포승읍 만호리 665-2번지 .3,외감,적정,중소기업,202205,"4,000 ","4,000 ","4,209 ",2021,"41,486 ","41,457 ","42,464 ","4,927 ",958 ,"1,276 ","4,041 ",718 ,720 ,경기,평택시,포승읍 만호리,126.852899449825,36.9506332189421
(주)코아코머디티인터내셔널,당진지점,"서울 강남구 헌릉로569길 27, 302호",외감,적정,중소기업,202205,"5,638 ","9,195 ","5,031 ",2021,"140,362 ","74,727 ","120,973 ",820 ,470 ,"1,517 ",103 ,780 ,"1,339 ",서울,강남구,세곡동,127.098776823256,37.4668109369113
보령쉬핑(주),당진지점,충남 보령시 대천방조제로 47,외감,적정,중소기업,202205,"4,660 ","3,124 ","4,982 ",2021,"12,484 ","12,771 ","9,920 ","3,330 ","3,275 ","2,108 ","2,799 ","2,449 ","1,305 ",충남,보령시,대천동,126.586242497427,36.347491630144
케이에스피코리아(주),당진지점,"서울 강남구 헌릉로569길 27, 303호",외감,적정,중소기업,202205,"3,000 ","3,042 ","3,208 ",2021,"85,594 ","55,323 ","51,567 ","4,690 ","1,057 ","1,074 ","3,567 ",584 ,468 ,서울,강남구,세곡동,127.098776823256,37.4668109369113
광성인비스(주),당진지점,울산 북구 효자로 140,외감,적정,대기업,202205,"3,200 ","3,200 ","3,600 ",2021,"18,653 ","19,406 ","21,439 ",-423 ,-830 ,300 ,-624 ,-997 ,5 ,울산,북구,연암동,129.36779483071,35.573942044952
(주)드림셰프,당진지점,경기 김포시 통진읍 절골로 98,외감,적정,중소기업,202205,"2,000 ","2,000 ","2,000 ",2021,"19,062 ","28,487 ","24,626 ","-1,183 ","1,126 ","1,778 ","1,022 ",909 ,851 ,경기,김포시,통진읍 옹정리,126.581694905307,37.6830784290423
(주)성욱,당진지점,인천 부평구 백범로 446,외감,적정,중소기업,202205,"15,660 ","15,660 ","13,650 ",2021,"71,245 ","57,947 ","67,893 ",201 ,"-2,501 ","2,477 ","1,803 ","-5,536 ","1,168 ",인천,부평구,십정동,126.701961062657,37.4685098561255
(주)태양전기,당진지점,경기 김포시 월곶면 고양로115번길 180,외감,적정,중소기업,202205,"4,500 ","4,500 ","4,500 ",2021,"42,302 ","40,467 ","51,991 ","-1,098 ",49 ,"1,131 ","-1,966 ",-873 ,144 ,경기,김포시,월곶면 고양리,126.552237729425,37.6883963627954
(주)우심시스템,당진지점,충남 홍성군 갈산면 산단로388번길 60,외감,적정,중소기업,202205,826 ,826 ,826 ,2021,"9,013 ","9,188 ","11,423 ",4 ,-529 ,"-1,277 ",75 ,-467 ,"-1,740 ",충남,홍성군,갈산면 취생리,126.533759696832,36.6261430412396
알루스(주),당진지점,충남 천안시 동남구 수신면 수신로 118,외감,적정,중소기업,202205,"14,905 ","13,255 ","13,380 ",2021,"61,026 ","37,251 ","39,550 ","3,247 ",588 ,"1,650 ","2,960 ",99 ,"1,104 ",충남,천안시 동남구,수신면 백자리,127.274925140578,36.7052108380357
(주)셀맥인터내셔날,당진지점,"서울 중구 무교로 32, 1202호",외감,적정,중소기업,202205,"10,590 ","9,038 ","6,000 ",2021,"77,607 ","85,019 ","76,000 ",712 ,-558 ,"3,589 ","1,468 ","-1,087 ","2,520 ",서울,중구,무교동,126.97956155404,37.5687660094097
(주)케이엔피이노텍,당진지점,광주 광산구 평동산단로 152,외감,적정,대기업,202205,"10,000 ","10,000 ","8,000 ",2021,"212,235 ","162,343 ","168,770 ","5,652 ","4,310 ","4,249 ","5,755 ","6,535 ","2,427 ",광주,광산구,월전동,126.76949861491,35.1206354812746
(주)케이디에프,당진지점,충남 아산시 영인면 신봉길 110-3,외감,적정,중소기업,202205,"20,629 ","20,843 ","18,000 ",2021,"74,678 ","52,275 ","63,635 ","-4,553 ","1,985 ",-921 ,"-6,603 ","1,604 ","-1,756 ",충남,아산시,영인면 신봉리,126.981417146798,36.896504313309
(주)에스와이폴리텍,당진지점,충북 진천군 이월면 생거진천로 2028-6,외감,,중소기업,202205,"4,100 ","4,063 ","3,705 ",2021,"24,251 ","20,854 ","19,026 ",354 ,383 ,442 ,165 ,251 ,276 ,충북,진천군,이월면 신월리,127.450863934693,36.9237256674145
형제프라콘(주),당진지점,경기 부천시 연동로131번가길 54,외감,적정,중소기업,202205,"2,000 ","2,000 ","2,700 ",2021,"20,235 ","18,453 ","17,265 ",358 ,588 ,-222 ,117 ,76 ,-321 ,경기,부천시,옥길동,126.824394063342,37.471399242084
전영화전(주),당진지점,경기 안산시 단원구 강촌로 90,일반,,중소기업,202205,"1,797 ","1,800 ","1,800 ",2021,"3,679 ","2,508 ",823 ,602 ,110 ,-874 ,472 ,17 ,"-1,855 ",경기,안산시 단원구,성곡동,126.75847104197,37.317474239303
(주)엔스퀘어,당진지점,충남 천안시 서북구 직산읍 4산단5길 11-3,일반,,중소기업,202205,350 ,350 ,400 ,2021,"3,475 ","2,914 ","3,364 ",91 ,31 ,-598 ,69 ,48 ,41 ,충남,천안시 서북구,직산읍 신갈리,127.114696289678,36.8644089127717
(주)큐알온텍,당진지점,"서울 강서구 양천로 583, A동 1201호, 1202호, 1301호",일반,,중소기업,202205,0 ,95 ,199 ,2021,"2,497 ","3,123 ","7,119 ",235 ,-529 ,"-1,184 ",71 ,21 ,"-1,324 ",서울,강서구,염창동,126.864347419732,37.5571161918617
(주)의조산업,당진지점,"서울 마포구 양화로 127, 402호",외감,적정,중소기업,202205,500 ,500 ,"1,100 ",2021,"13,462 ","15,633 ","12,479 ","1,769 ","2,544 ","1,077 ","1,669 ","2,281 ",555 ,서울,마포구,서교동,126.920497567982,37.5548815216613
