고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
(주)광진상공,포항지점,경북 경주시 내남면 명계3산단로 90,외감,적정,대기업,202205,"9,396 ","9,924 ","11,190 ",2021,"116,826 ","153,643 ","176,642 ",847 ,"-8,250 ",126 ,"11,057 ","-12,946 ","1,085 ",경북,경주시,내남면 명계리,129.231022401183,35.7176069118314
동주산업(주),포항지점,경북 포항시 남구 대송면 송동리 877-2번지,외감,적정,중소기업,202205,"7,630 ","7,630 ","7,630 ",2021,"32,232 ","32,510 ","36,399 ","-4,486 ","1,022 ","1,194 ","-5,093 ",121 ,-390 ,경북,포항시 남구,대송면 송동리,129.373777678926,35.957320090655
한국수력원자력(주),포항지점,경북 경주시 문무대왕면 불국로 1655,외감,적정,,202205,0 ,"100,000 ","100,000 ",2021,"9,324,391 ","9,938,941 ","8,969,072 ","796,832 ","1,338,642 ","854,831 ","302,232 ","647,641 ","306,007 ",경북,경주시,문무대왕면 장항리,129.389180219833,35.795102140085
(주)케이에스티,포항지점,경북 포항시 남구 대송면 송덕로 30,외감,적정,중소기업,202205,"3,361 ","4,968 ","6,318 ",2021,"17,488 ","22,937 ","20,488 ",685 ,318 ,552 ,322 ,205 ,209 ,경북,포항시 남구,대송면 송동리,129.372053844811,35.9598341909252
(주)진양,포항지점,경북 구미시 옥계2공단로 263,외감,적정,중소기업,202205,"2,115 ","2,115 ","2,510 ",2021,"13,313 ","9,797 ","16,496 ",533 ,383 ,-975 ,685 ,"-2,790 ","-1,462 ",경북,구미시,구포동,128.414986163982,36.1286350569126
포항선재(주),포항지점,경북 포항시 북구 청하면 동해대로2315번길 34-2,일반,,중소기업,202205,"2,083 ","1,127 ",830 ,2021,"7,994 ","6,216 ","7,100 ",244 ,164 ,293 ,219 ,131 ,139 ,경북,포항시 북구,청하면 하대리,129.336093582349,36.1767785189789
(주)세명기업,포항지점,경북 경산시 진량읍 공단4로 20,외감,적정,중소기업,202205,"4,000 ","4,000 ","4,000 ",2021,"95,414 ","77,097 ","88,828 ","1,752 ","1,699 ","2,191 ",121 ,435 ,"1,362 ",경북,경산시,진량읍 신상리,128.821897575937,35.8618962083443
(주)세진중공업,포항지점,울산 울주군 온산읍 당월로 216-18,상장,적정,대기업,202205,"160,300 ","162,000 ","160,700 ",2021,"221,657 ","267,296 ","283,229 ","1,169 ","-3,648 ","7,054 ","21,873 ",-126 ,626 ,울산,울주군,온산읍 원산리,129.35180899725,35.4204516010838
네이처이앤티(주),포항지점,경북 포항시 남구 대송면 철강로492번길 49,외감,적정,중소기업,202205,"16,505 ","16,709 ","27,736 ",2021,"30,419 ","33,168 ","31,568 ","-4,367 ","1,113 ","6,148 ","2,396 ","-7,616 ","9,044 ",경북,포항시 남구,대송면 옥명리,129.38469702767,35.9641414447141
(주)유니코정밀화학,포항지점,경북 포항시 남구 섬안로46번길 25,외감,적정,중소기업,202205,"5,910 ","4,500 ","3,923 ",2021,"67,517 ","57,822 ","55,768 ","5,760 ","4,319 ","1,101 ","10,991 ","2,692 ","1,196 ",경북,포항시 남구,괴동동,129.369614791553,35.9996539942666
